Height (m), Displacement (m)
0e0, 0e0
9.96153846153846e-2, 4.985533188387221e-6
1.992307692307692e-1, 1.9947293549319147e-5
2.988461538461538e-1, 4.492729700664068e-5
3.984615384615384e-1, 7.996726117933292e-5
4.9807692307692303e-1, 1.2510858433554818e-4
5.976923076923076e-1, 1.8039232356214073e-4
6.973076923076922e-1, 2.4585917212173556e-4
7.969230769230768e-1, 3.215494359683374e-4
8.965384615384615e-1, 4.0750300939140153e-4
9.961538461538461e-1, 5.037593497571615e-4
1.0957692307692306e0, 6.103574513148421e-4
1.1953846153846153e0, 7.273358180341698e-4
1.295e0, 8.547324354393255e-4
1.3946153846153844e0, 9.925847414031688e-4
1.494230769230769e0, 1.140929595864193e-3
1.5938461538461537e0, 1.2998032494272436e-3
1.6934615384615384e0, 1.4692413108075549e-3
1.793076923076923e0, 1.6492787130761063e-3
1.8926923076923075e0, 1.8399496786627044e-3
1.9923076923076921e0, 2.041287683071518e-3
2.0919230769230768e0, 2.2533254172620513e-3
2.191538461538461e0, 2.476094748646714e-3
2.291153846153846e0, 2.7096266806542948e-3
2.3907692307692305e0, 2.9539513108066315e-3
2.490384615384615e0, 3.20909778725375e-3
2.59e0, 3.47509426371059e-3
2.6896153846153843e0, 3.751967852736233e-3
2.7892307692307687e0, 4.039744577294206e-3
2.8888461538461536e0, 4.338449320530033e-3
2.988461538461538e0, 4.6481057736996855e-3
3.088076923076923e0, 4.968736382179925e-3
3.1876923076923074e0, 5.3003622894888395e-3
3.287307692307692e0, 5.643003279241979e-3
3.3869230769230767e0, 5.996677714966557e-3
3.486538461538461e0, 6.361402477693004e-3
3.586153846153846e0, 6.737192901239995e-3
3.6857692307692305e0, 7.124062705105637e-3
3.785384615384615e0, 7.522023924874049e-3
3.885e0, 7.931086840042775e-3
3.9846153846153842e0, 8.351259899172691e-3
4.084230769230769e0, 8.782549642258048e-3
4.1838461538461535e0, 9.224960620210033e-3
4.283461538461538e0, 9.67849531134292e-3
4.383076923076922e0, 1.0143154034747314e-2
4.482692307692307e0, 1.0618934860430161e-2
4.582307692307692e0, 1.1105833516096286e-2
4.681923076923076e0, 1.1603843290440846e-2
4.781538461538461e0, 1.211295493281684e-2
4.881153846153846e0, 1.2633156549135946e-2
4.98076923076923e0, 1.3164433493855087e-2
5.080384615384615e0, 1.3706768257894842e-2
5.18e0, 1.4260140352329352e-2
5.279615384615384e0, 1.4824526187680612e-2
5.379230769230769e0, 1.5399898948642684e-2
5.4788461538461535e0, 1.598622846405411e-2
5.5784615384615375e0, 1.658348107192898e-2
5.678076923076922e0, 1.7191619479348837e-2
5.777692307692307e0, 1.7810602617009112e-2
5.877307692307692e0, 1.8440385488204876e-2
5.976923076923076e0, 1.9080919012031187e-2
6.076538461538461e0, 1.9732149860563482e-2
6.176153846153846e0, 2.039402028977339e-2
6.27576923076923e0, 2.1066467963924352e-2
6.375384615384615e0, 2.1749425773180182e-2
6.475e0, 2.2442821644147813e-2
6.574615384615384e0, 2.3146578343063166e-2
6.6742307692307685e0, 2.3860613271315854e-2
6.773846153846153e0, 2.4584838252995077e-2
6.873461538461537e0, 2.5319159314124567e-2
6.973076923076922e0, 2.6063476453239375e-2
7.072692307692307e0, 2.681768340294155e-2
7.172307692307692e0, 2.7581667382055322e-2
7.271923076923076e0, 2.8355308837984837e-2
7.371538461538461e0, 2.913848117885918e-2
7.471153846153846e0, 2.9931050495030705e-2
7.57076923076923e0, 3.073287526947219e-2
7.670384615384615e0, 3.154380607659729e-2
7.77e0, 3.23636852690065e-2
7.869615384615384e0, 3.3192346651637485e-2
7.9692307692307685e0, 3.4029615142774125e-2
8.068846153846152e0, 3.487530642134282e-2
8.168461538461537e0, 3.5729226559897395e-2
8.268076923076922e0, 3.659117164266558e-2
8.367692307692307e0, 3.746092736799964e-2
8.467307692307692e0, 3.833826863454252e-2
8.566923076923077e0, 3.9222959110387035e-2
8.66653846153846e0, 4.011475078447126e-2
8.766153846153845e0, 4.101338349941566e-2
8.86576923076923e0, 4.191858446496923e-2
8.965384615384615e0, 4.283006775119062e-2
9.065e0, 4.374753376044678e-2
9.164615384615384e0, 4.4670668677266774e-2
9.264230769230767e0, 4.559914389503997e-2
9.363846153846152e0, 4.653261541849748e-2
9.463461538461537e0, 4.7470723240862184e-2
9.563076923076922e0, 4.841309069449614e-2
9.662692307692307e0, 4.935932377381492e-2
9.762307692307692e0, 5.030901042917584e-2
9.861923076923077e0, 5.1261719830380456e-2
9.96153846153846e0, 5.2217001598361366e-2
1.0061153846153845e1, 5.3174385003550644e-2
1.016076923076923e1, 5.4133378129347744e-2
1.0260384615384615e1, 5.509346699902248e-2
1.036e1, 5.605411466430144e-2
